,date_time,H,LE,G,NETRAD,WS,MO_LENGTH,V_SIGMA,USTAR,WD,H_gapfill,LE_gapfill,G_gapfill,NETRAD_gapfill,no_LE_data
0,2024-04-10 11:00:00,,,,,1.181668,-0.3440125,0.5327085,0.09368927,231.0488,,,,,1
1,2024-04-10 11:30:00,,,,,1.051614,-2.45259,0.8120594,0.1808462,300.0215,,,,,1
2,2024-04-10 12:00:00,,,,,2.2458,-4.511233,1.064353,0.2309613,283.9656,,,,,1
3,2024-04-10 12:30:00,,,,,3.719224,-6.17194,1.186945,0.2459485,290.1801,,,,,1
4,2024-04-10 13:00:00,,,,,4.239919,-9.471722,1.117503,0.2835764,297.5996,,,,,1
5,2024-04-10 13:30:00,,,,,5.361787,-14.54028,1.214561,0.3691581,308.0057,,,,,1
6,2024-04-10 14:00:00,,,,,6.04835,-20.87741,1.346402,0.3931402,315.7265,,,,,1
7,2024-04-10 14:30:00,,,,,6.68544,-25.74513,1.150144,0.4187063,320.2774,,,,,1
8,2024-04-10 15:00:00,,,,,6.726214,-36.55164,1.433442,0.4522133,317.6541,,,,,1
9,2024-04-10 15:30:00,,,,,6.806176,-30.80804,1.135988,0.4106232,305.5844,,,,,1
10,2024-04-10 16:00:00,,,,,6.698744,-33.41558,0.9348578,0.3688065,302.9812,,,,,1
11,2024-04-10 16:30:00,,,,,6.993062,-49.0516,0.8815212,0.3546191,296.292,,,,,1
12,2024-04-10 17:00:00,,,,,6.15482,-64.71979,0.806998,0.3322178,302.2153,,,,,1
13,2024-04-10 17:30:00,,,,,5.303872,1708.984,0.9793313,0.3168603,294.9156,,,,,1
14,2024-04-10 18:00:00,,,,,4.743897,70.29653,0.476504,0.2184649,290.8685,,,,,1
15,2024-04-10 18:30:00,,,,,3.532112,17.09139,0.514389,0.1648188,278.4152,,,,,1
16,2024-04-10 19:00:00,,,,,3.826488,27.72367,0.4755633,0.1735594,280.1597,,,,,1
17,2024-04-10 19:30:00,,,,,4.046511,48.82765,0.410745,0.182024,280.7645,,,,,1
18,2024-04-10 20:00:00,,,,,3.793112,34.73548,0.39453,0.1944716,290.522,,,,,1
19,2024-04-10 20:30:00,,,,,2.775236,24.48062,0.3101496,0.1335806,290.1327,,,,,1
20,2024-04-10 21:00:00,,,,,1.77508,15.85442,0.2815832,0.08949106,303.195,,,,,1
21,2024-04-10 21:30:00,,,,,1.347338,-96.59141,0.4774228,0.1038377,304.1046,,,,,1
22,2024-04-10 22:00:00,,,,,0.7878777,3.194156,0.136807,0.03112047,320.9837,,,,,1
23,2024-04-10 22:30:00,,,,,0.9287112,-24.33369,0.3270455,0.03779301,68.62567,,,,,1
24,2024-04-10 23:00:00,,,,,0.7561993,4.631177,0.4674604,0.09394866,135.7472,,,,,1
25,2024-04-10 23:30:00,,,,,0.6807537,2.323092,0.2337424,0.04080221,81.65326,,,,,1
26,2024-04-11 00:00:00,-0.2436306,-0.1626214,-31.63253,-62.48903,0.9647713,1.224554,0.1383102,0.01517709,53.65631,-0.2436306,-0.1626214,-31.63253,-62.48903,0
27,2024-04-11 00:30:00,-0.3789337,-1.018947,-43.20162,-61.37274,0.8635878,5.94968,0.2212431,0.03087901,88.64074,-0.3789337,-1.018947,-43.20162,-61.37274,0
28,2024-04-11 01:00:00,-3.110971,-3.373305,-30.08829,-62.59807,1.512946,5.820086,0.2249328,0.06011434,104.5581,-3.110971,-3.373305,-30.08829,-62.59807,0
29,2024-04-11 01:30:00,3.190359,1.896916,-42.08417,-62.51394,1.316764,-26.37951,0.2099252,0.09941658,84.50782,3.190359,1.896916,-42.08417,-62.51394,0
30,2024-04-11 02:00:00,-7.187215,-3.018564,-35.56402,-63.46044,1.71995,11.36104,0.2280849,0.09809601,91.77838,-7.187215,-3.018564,-35.56402,-63.46044,0
31,2024-04-11 02:30:00,-5.868913,-2.477588,-45.22921,-63.55778,2.0207,6.768742,0.1617492,0.07715887,101.7865,-5.868913,-2.477588,-45.22921,-63.55778,0
32,2024-04-11 03:00:00,,,-31.9918,-54.18523,2.047426,-9.814602,0.2560317,0.1160719,102.117,-12.1652165,82.870756,-31.9918,-54.18523,0
33,2024-04-11 03:30:00,-18.46152,168.2191,-25.88189,-58.59951,2.745463,63.67336,0.3562861,0.1817977,96.61572,-18.46152,168.2191,-25.88189,-58.59951,0
34,2024-04-11 04:00:00,,,,-57.57915,2.236236,151.9401,0.6046592,0.2208675,117.4402,-15.5263065,125.089428,7.721633333333337,-57.57915,0
35,2024-04-11 04:30:00,,,,-53.35046,2.218356,32.84252,0.418999,0.1585924,95.48514,-12.591093,81.959756,41.32515666666667,-53.35046,0
36,2024-04-11 05:00:00,,,74.92868,-57.38801,2.291339,31.43371,0.270406,0.1161661,102.9258,-9.6558795,38.830084,74.92868,-57.38801,0
37,2024-04-11 05:30:00,-6.720666,-4.299588,,-46.86679,2.035114,14.07819,0.2063455,0.1034212,111.9256,-6.720666,-4.299588,15.748486666666665,-46.86679,0
38,2024-04-11 06:00:00,-1.146286,5.02963,,14.63553,3.208701,475.0803,0.3823304,0.1658614,110.1251,-1.146286,5.02963,-43.43170666666667,14.63553,0
39,2024-04-11 06:30:00,8.966994,25.27188,-102.6119,104.269,3.54766,-52.19795,0.464059,0.1833533,108.5827,8.966994,25.27188,-102.6119,104.269,0
40,2024-04-11 07:00:00,20.37469,51.71396,-79.90326,181.0377,4.31771,-39.45531,0.4996814,0.2185568,112.174,20.37469,51.71396,-79.90326,181.0377,0
41,2024-04-11 07:30:00,28.69757,68.75666,-113.8858,268.325,4.376159,-36.75764,0.8716435,0.2387307,135.3431,28.69757,68.75666,-113.8858,268.325,0
42,2024-04-11 08:00:00,22.29658,80.67156,-71.8938,381.3485,4.269363,-36.51334,0.8125566,0.2236267,137.1835,22.29658,80.67156,-71.8938,381.3485,0
43,2024-04-11 08:30:00,39.48872,138.702,-42.6776,470.5384,4.168652,-71.84871,1.029036,0.3386255,127.5587,39.48872,138.702,-42.6776,470.5384,0
44,2024-04-11 09:00:00,68.40134,278.1077,-25.74475,585.1229,3.61714,-23.25154,0.8411064,0.2819443,137.8515,68.40134,278.1077,-25.74475,585.1229,0
45,2024-04-11 09:30:00,,,,,,,,,,53.53805333333334,240.42770000000002,-23.28112,597.3598,0
46,2024-04-11 10:00:00,,,,,,,,,,38.67476666666667,202.7477,-20.81749,609.5967,0
